Season,Gameweek,Champion,ChampionProb,ModelFavorite,ModelFavoriteProb,FavoriteIsChampion
2025/26,17,Arsenal,0.6373333333333333,Arsenal,0.6373333333333333,True
2025/26,18,Arsenal,0.6203333333333333,Arsenal,0.6203333333333333,True
2025/26,19,Arsenal,0.7663333333333333,Arsenal,0.7663333333333333,True
2025/26,20,Arsenal,0.8186666666666667,Arsenal,0.8186666666666667,True
2025/26,21,Arsenal,0.8536666666666667,Arsenal,0.8536666666666667,True
2025/26,22,Arsenal,0.8916666666666667,Arsenal,0.8916666666666667,True
2025/26,23,Arsenal,0.79,Arsenal,0.79,True
2025/26,24,Arsenal,0.8736666666666667,Arsenal,0.8736666666666667,True
2025/26,25,Arsenal,0.8763333333333333,Arsenal,0.8763333333333333,True
2025/26,26,Arsenal,0.7996666666666666,Arsenal,0.7996666666666666,True
2025/26,27,Arsenal,0.7706666666666667,Arsenal,0.7706666666666667,True
2025/26,28,Arsenal,0.743,Arsenal,0.743,True
2025/26,29,Arsenal,0.8896666666666667,Arsenal,0.8896666666666667,True
2025/26,30,Arsenal,0.9596666666666667,Arsenal,0.9596666666666667,True
2025/26,31,Arsenal,0.9583333333333334,Arsenal,0.9583333333333334,True
2025/26,32,Arsenal,0.8443333333333334,Arsenal,0.8443333333333334,True
2025/26,33,Arsenal,0.674,Arsenal,0.674,True
2025/26,34,Arsenal,0.7266666666666667,Arsenal,0.7266666666666667,True
2025/26,35,Arsenal,0.897,Arsenal,0.897,True
2025/26,36,Arsenal,0.8256666666666667,Arsenal,0.8256666666666667,True
